Rank,Title,Company,DomBox,OpWeek,maxthe,Rating
7,Onward,Walt Disney,61555145,39119861,4310,95
3,Birds of Prey 2020,Warner Bros.,84158461,33010017,4236,78
2,Sonic The Hedgehog 2020,Paramountï¿½,146066470,58018348,4198,93
4,Dolittle 2020,Universal,77047065,21844045,4155,76
6,The Call of the Wild 2020,20th Centï¿½,62342368,24791624,3914,89
1,Bad Boys For Life,Sony Pictï¿½,204417855,62504105,3775,96
5,The Invisible Man 2020,Universal,64914050,28205665,3636,88
30,I Still Believe,Lionsgate,10410004,9103614,3250,98
14,Like a Boss,Paramountï¿½,22169514,10011272,3081,65
40,The Rhythm Section,Paramountï¿½,5437971,2715384,3049,44
39,The Hunt 2019,Universal,5812500,5304455,3028,66
21,Gretel & Hansel,United Arï¿½,15347654,6154007,3007,23
9,Tenet,Warner Bros.,57929000,20200000,2930,76
32,Bloodshot 2020,Sony Pictï¿½,10021787,9176695,2861,78
19,Underwater 2020,20th Centï¿½,17291078,7008297,2791,60
12,Fantasy Island 2020,Sony Pictï¿½,26441782,12310420,2784,48
13,The New Mutants,20th Centï¿½,23855569,7037017,2754,56
24,The Way Back,Warner Bros.,13590514,8170315,2718,72
11,The Gentlemen,STX Enterï¿½,36471796,10651884,2675,84
16,The Grudge,Sony Pictï¿½,21216148,11404113,2642,46
20,The Turning,Universal,15472775,6950045,2571,54
18,The Photograph,Universal,20578185,12181865,2516,60
23,Honest Thief,Open Road,14163574,3607966,2502,87
72,Scoob!,Warner Bros.,850000,850000,2500,53
34,Freaky,Universal,9030855,3600355,2472,80
33,Let Him Go,Focus Feaï¿½,9358025,4000470,2458,76
17,Unhinged,Solstice ï¿½,20831465,601032,2402,25
15,The War with Grandpa,101 Studios,21277892,3623880,2365,85
35,Downhill,Searchligï¿½,8287061,4622018,2311,60
42,The Broken Hearts Gallery,Sony Pictï¿½,4066487,1126401,2221,88
10,Wonder Woman 1984,Warner Bros.,46530051,16700000,2218,73
28,Come Play,Focus Feaï¿½,10475990,3119875,2213,67
8,The Croods: A New Age,Universal,58568815,9724200,2211,94
27,Brahms: The Boy II,STX Enterï¿½,12611536,5823006,2151,44
47,The Empty Man,20th Centï¿½,2995698,1310326,2051,39
26,News of the World,Universal,12668325,2250430,1986,89
29,Impractical Jokers: The Movie,truTV,10466091,2607049,1900,76
43,Infidel,Cloudbursï¿½,4051990,1384296,1885,86
22,Monster Hunter,Sony Pictï¿½,15104790,2201269,1817,70
31,Emma. 2020,Focus Feaï¿½,10055355,234482,1732,72
59,2 Hearts,Freestyleï¿½,1349284,522937,1683,87
